event_id,event_date,year,month,month_sin,month_cos,is_monsoon,pre_monsoon,post_monsoon,latitude,longitude,state,trigger,landslide_size,landslide_category,elevation_proxy_m,slope_proxy_deg,rainfall_antecedent_proxy_mm,historical_density_50km,min_dist_to_historical_km,label,sample_type
2164,2010-07-29 23:00:00,2010,7,0.0,-1.0,1,0,0,25.3098633,94.48214677,Manipur,downpour,medium,landslide,1214.0,31.6,702.0,15,0.0,1,observed_historical_event
7370,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,24.1419,94.1078,Manipur,continuous_rain,medium,landslide,1280.8,29.5,517.1,13,0.0,1,observed_historical_event
1109,2009-08-20 00:00:00,2009,8,-0.5,-0.866,1,0,0,25.5215,93.1645,Assam,downpour,medium,landslide,409.1,8.2,562.4,11,0.0,1,observed_historical_event
322,2007-10-21 00:00:00,2007,10,-1.0,-0.0,0,0,1,24.75,93.4333,Assam,rain,medium,landslide,486.2,19.6,133.6,26,0.0,1,observed_historical_event
5552,2013-09-24 00:00:00,2013,9,-0.866,-0.5,1,0,0,25.0985,94.3619,Manipur,unknown,medium,landslide,1164.1,32.0,318.4,18,0.0,1,observed_historical_event
7031,2015-05-24 00:00:00,2015,5,0.866,-0.5,0,1,0,27.6163,88.6586,Sikkim,unknown,medium,landslide,2595.4,42.0,286.9,17,0.0,1,observed_historical_event
9405,2016-04-19 00:00:00,2016,4,1.0,0.0,0,1,0,26.7223,95.0243,Nagaland,continuous_rain,medium,landslide,1314.2,30.8,228.3,3,0.0,1,observed_historical_event
5343,2013-08-17 23:00:00,2013,8,-0.5,-0.866,1,0,0,24.7625,93.4341,Assam,continuous_rain,medium,landslide,481.4,20.0,518.7,26,0.0,1,observed_historical_event
6971,2015-06-09 00:00:00,2015,6,0.5,-0.866,1,0,0,27.0987,93.816,Arunachal Pradesh,continuous_rain,medium,landslide,2004.3,30.0,567.5,7,0.0,1,observed_historical_event
1611,2010-04-01 00:00:00,2010,4,1.0,0.0,0,1,0,25.1553,93.028,Assam,downpour,medium,landslide,432.6,19.6,222.7,19,0.0,1,observed_historical_event
147,2007-07-30 00:00:00,2007,7,0.0,-1.0,1,0,0,22.533,92.899,Mizoram,downpour,medium,landslide,1026.0,32.5,691.5,3,0.0,1,observed_historical_event
4382,2012-06-03 00:00:00,2012,6,0.5,-0.866,1,0,0,25.1175,92.8573,Assam,downpour,medium,landslide,355.7,13.0,611.6,19,0.0,1,observed_historical_event
1112,2009-08-20 00:00:00,2009,8,-0.5,-0.866,1,0,0,27.1761,88.5287,Sikkim,downpour,medium,mudslide,2819.9,43.7,556.2,30,0.0,1,observed_historical_event
2424,2010-09-13 00:00:00,2010,9,-0.866,-0.5,1,0,0,23.591,92.9296,Mizoram,downpour,medium,landslide,1032.0,26.4,444.5,20,0.0,1,observed_historical_event
78,2007-05-23 00:00:00,2007,5,0.866,-0.5,0,1,0,27.3383,88.6069,Sikkim,rain,medium,landslide,2963.3,40.4,328.2,31,0.0,1,observed_historical_event
