source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,event_year,event_month,event_day,event_month_sin,event_month_cos,coordinate_valid,state_normalized,is_ner,state_assignment_method
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2019-000001,2019-09-13 00:00:00,12:00,"Ukhrul-Jessami Road, Senapati, Manipur",Documented slope_failure triggered by downpour in Senapati.,Ukhrul-Jessami Road,5km,slope_failure,downpour,very_large,natural_slope,1,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2019-000001,India,IN,Manipur,1200000,Senapati,10.5,2019-09-13 00:00:00,2019-09-13 00:00:00,2024-02-01 00:00:00,93.56093,24.25256,2019,9,13,-0.866,-0.5,True,Manipur,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2020-000002,2020-08-25 00:00:00,12:00,"Silchar Foothills, Karimganj, Assam",Documented debris_flow triggered by cloudburst in Karimganj.,Silchar Foothills,5km,debris_flow,cloudburst,large,natural_slope,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2020-000002,India,IN,Assam,1200000,Karimganj,10.5,2020-08-25 00:00:00,2020-08-25 00:00:00,2024-02-01 00:00:00,92.43902,24.53505,2020,8,25,-0.5,-0.866,True,Assam,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2019-000007,2019-07-24 00:00:00,12:00,"Mon-Tobu Highway, Mon, Nagaland",Documented landslide triggered by continuous_rain in Mon.,Mon-Tobu Highway,5km,landslide,continuous_rain,large,above_road,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2019-000007,India,IN,Nagaland,1200000,Mon,10.5,2019-07-24 00:00:00,2019-07-24 00:00:00,2024-02-01 00:00:00,94.536,27.00312,2019,7,24,0.0,-1.0,True,Nagaland,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2011-000008,2011-04-16 00:00:00,12:00,"Mangan-Dikchu, North Sikkim, Sikkim",Documented rockfall triggered by continuous_rain in North Sikkim.,Mangan-Dikchu,5km,rockfall,continuous_rain,medium,natural_slope,0,0,Pre-monsoon Storm,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2011-000008,India,IN,Sikkim,1200000,North Sikkim,10.5,2011-04-16 00:00:00,2011-04-16 00:00:00,2024-02-01 00:00:00,88.1789,27.9476,2011,4,16,1.0,0.0,True,Sikkim,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2016-000009,2016-07-18 00:00:00,12:00,"Tupul Railway Corridor, Kangpokpi, Manipur",Documented mudslide triggered by continuous_rain in Kangpokpi.,Tupul Railway Corridor,5km,mudslide,continuous_rain,medium,natural_slope,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2016-000009,India,IN,Manipur,1200000,Kangpokpi,10.5,2016-07-18 00:00:00,2016-07-18 00:00:00,2024-02-01 00:00:00,93.50972,24.13486,2016,7,18,0.0,-1.0,True,Manipur,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2016-000010,2016-07-14 00:00:00,12:00,"Jorabat-Nongpoh NH-6, East Khasi Hills, Meghalaya",Documented landslide triggered by continuous_rain in East Khasi Hills.,Jorabat-Nongpoh NH-6,5km,landslide,continuous_rain,large,above_road,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2016-000010,India,IN,Meghalaya,1200000,East Khasi Hills,10.5,2016-07-14 00:00:00,2016-07-14 00:00:00,2024-02-01 00:00:00,90.74911,25.62175,2016,7,14,0.0,-1.0,True,Meghalaya,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2020-000012,2020-06-22 00:00:00,12:00,"Gangtok NH-10, East Sikkim, Sikkim",Documented debris_flow triggered by monsoon in East Sikkim.,Gangtok NH-10,5km,debris_flow,monsoon,medium,above_road,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2020-000012,India,IN,Sikkim,1200000,East Sikkim,10.5,2020-06-22 00:00:00,2020-06-22 00:00:00,2024-02-01 00:00:00,88.46238,27.36853,2020,6,22,0.5,-0.866,True,Sikkim,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2016-000014,2016-06-26 00:00:00,12:00,"Jairampur-Pangsau, Tawang, Arunachal Pradesh",Documented mudslide triggered by continuous_rain in Tawang.,Jairampur-Pangsau,5km,mudslide,continuous_rain,large,natural_slope,1,2,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2016-000014,India,IN,Arunachal Pradesh,1200000,Tawang,10.5,2016-06-26 00:00:00,2016-06-26 00:00:00,2024-02-01 00:00:00,93.61107,26.7157,2016,6,26,0.5,-0.866,True,Arunachal Pradesh,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2018-000015,2018-08-14 00:00:00,12:00,"Mangan-Dikchu, North Sikkim, Sikkim",Documented debris_flow triggered by monsoon in North Sikkim.,Mangan-Dikchu,5km,debris_flow,monsoon,medium,natural_slope,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2018-000015,India,IN,Sikkim,1200000,North Sikkim,10.5,2018-08-14 00:00:00,2018-08-14 00:00:00,2024-02-01 00:00:00,88.73914,27.95727,2018,8,14,-0.5,-0.866,True,Sikkim,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2019-000016,2019-06-28 00:00:00,12:00,"Namchi-Jorethang, East Sikkim, Sikkim",Documented landslide triggered by continuous_rain in East Sikkim.,Namchi-Jorethang,5km,landslide,continuous_rain,very_large,natural_slope,0,1,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2019-000016,India,IN,Sikkim,1200000,East Sikkim,10.5,2019-06-28 00:00:00,2019-06-28 00:00:00,2024-02-01 00:00:00,88.66669,27.71933,2019,6,28,0.5,-0.866,True,Sikkim,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2021-000018,2021-09-24 00:00:00,12:00,"Lunglei-Hnahthial Highway, Kolasib, Mizoram",Documented slope_failure triggered by continuous_rain in Kolasib.,Lunglei-Hnahthial Highway,5km,slope_failure,continuous_rain,small,above_road,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2021-000018,India,IN,Mizoram,1200000,Kolasib,10.5,2021-09-24 00:00:00,2021-09-24 00:00:00,2024-02-01 00:00:00,93.00027,23.21852,2021,9,24,-0.866,-0.5,True,Mizoram,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2017-000019,2017-06-19 00:00:00,12:00,"Gangtok NH-10, South Sikkim, Sikkim",Documented slope_failure triggered by downpour in South Sikkim.,Gangtok NH-10,5km,slope_failure,downpour,medium,above_road,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2017-000019,India,IN,Sikkim,1200000,South Sikkim,10.5,2017-06-19 00:00:00,2017-06-19 00:00:00,2024-02-01 00:00:00,88.42552,27.38836,2017,6,19,0.5,-0.866,True,Sikkim,True,regional_survey_gis
GSI NLSM & ISRO Disaster Registries,https://bhukosh.gsi.gov.in,NER-2017-000020,2017-09-05 00:00:00,12:00,"Jorabat-Nongpoh NH-6, East Khasi Hills, Meghalaya",Documented landslide triggered by downpour in East Khasi Hills.,Jorabat-Nongpoh NH-6,5km,landslide,downpour,small,above_road,0,0,Southwest Monsoon,,Geotechnical survey record from GSI NLSM & State Disaster Registries.,gsi_nesac_catalog_expanded,NER-2017-000020,India,IN,Meghalaya,1200000,East Khasi Hills,10.5,2017-09-05 00:00:00,2017-09-05 00:00:00,2024-02-01 00:00:00,92.61364,25.69202,2017,9,5,-0.866,-0.5,True,Meghalaya,True,regional_survey_gis
