source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,event_year,event_month,event_day,event_month_sin,event_month_cos,coordinate_valid,state_normalized,is_ner,state_assignment_method
E-Pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2164,2010-07-29 23:00:00,,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Since the Chingai-Quingai road has been sunk due to landslides at various points following heavy rainfall that occured twice during the past 20 days, nearly 5,000 villagers of five villages in the sub-division are facing the alarming possibility of starvation.  The road from Chingai to Quingai in Chingai sub-division of Ukhrul district connects Quingai, Chalou, New Tasom, Tasom CV and Tasom Khullen villages.  However, the road has been disconnected in various places due to heavy rainfall that occurred on the night between July 29 and 30 and again on the night of August 15 .  According to Secretary, Information and Publicity, Northern Raphei Students' Union (NRSU), HAS Thuingaleng, nearly 5,000 villagers of the said villages have been facing extreme hardship.  The wooden bridge over Rondei river had been washed away by the powerful current of the river disconnecting the road.  Moreover, landslides have occurred completely blocking the road at different places.  However, due to the heavy","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0,,,,,glc,2164,India,IN,Manipur,15118,Phek,39.51186,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,94.48214677,25.3098633,2010,7,29,0.0000,-1.0000,True,Manipur,True,administrative
E-PAO,http://e-pao.net/GP.asp?src=21..020815.aug15,7370,2015-08-01 00:00:00,,between Moltuk to New Songjang village,one landslide between Moltuk to New Songjang village,between Moltuk to New Songjang village,5km,landslide,continuous_rain,medium,above_road,0,0,,,,glc,7370,India,IN,Manipur,30418,Kakching,41.50847,11/21/2015 1:04,11/20/2017 15:17,2/15/2018 15:51,94.1078,24.1419,2015,8,1,-0.5000,-0.8660,True,Manipur,True,administrative
prokerala,http://www.prokerala.com/news/articles/a75292.html,1109,2009-08-20 00:00:00,,Lumding-Badarpur section in North Cachar Hills district,"The rail services between rest of India and southern Assam, Tripura, Mizoram and Manipur have been suspended since Aug 20 following extensive landslides on the Lumding-Badarpur section in North Cachar Hills district",Lumding-Badarpur section in North Cachar Hills district,25km,landslide,downpour,medium,unknown,0,,,,,glc,1109,India,IN,Assam,8364,Maibong,24.54328,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.1645,25.5215,2009,8,20,-0.5000,-0.8660,True,Assam,True,administrative
Hmar.net,http://hmar.net/?p=1870,322,2007-10-21 00:00:00,,National Highway 53 at Nungba in Tamenglong district of Manipur,blocked road,National Highway 53 at Nungba in Tamenglong district of Manipur,25km,landslide,rain,medium,unknown,,,,,,glc,322,India,IN,Assam,12871,Lakhipur,43.16287,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.4333,24.75,2007,10,21,-1.0000,-0.0000,True,Assam,True,administrative
www.morungexpress.com,http://www.morungexpress.com/regional/104056.html,5552,2013-09-24 00:00:00,,"Ukhrul, Manipur","Imphal, September 28 (NNN): The massive landslide that occurred in Ukhrul town has been cleared yesterday. The landslide had occurred at Police Bazar, also called Tangrei near Ukhrul police station. According to Kamphasom Tang chairman Alston T Shimrah and its secretary Khamung, the landslide that had given tremendous hardship to the people of the Ukhrul town in the last few days. The chairman and the secretary of Kamphasom Tang, Ukhrul have expressed their deep gratitude to Ukhrul deputy commissioner SK Chaurasoia, Ukhrul superintendent of police K Kabib, Ukhrul sub-divisional officer Worshang Hungyo, Officer commanding of 84 RCC/25 BRTF Asish Kumar, 2nd in command of the BRTF AK Mehra, Jr Engineer, 25 BRTF Swamy S and others for helping to clear the massive landslide yesterday. The Kamphasom Tang leaders also expressed their gratitude to RS Ngaranchui, the Ukhrul district representative of Lok Sabha MLA under whose supervision the slide was cleared.","Ukhrul, Manipur",5km,landslide,unknown,medium,unknown,,,,,,glc,5552,India,IN,Manipur,223523,Imphal,53.05172,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,94.3619,25.0985,2013,9,24,-0.8660,-0.5000,True,Manipur,True,administrative
The Olympian,http://www.theolympian.com/2015/05/27/3746897/rhododendron-explorers-from-south.html,7031,2015-05-24 00:00:00,,"Bop, Sikkim","Approximately 1200 tourists were stranded. The landslide blocked three switchbacks on the main road. By the evening, that stretch was impassable.","Bop, Sikkim",1km,landslide,unknown,medium,above_road,0,0,,,,glc,7031,India,IN,Sikkim,1464,Mangan,17.93173,6/30/2015 20:57,11/20/2017 15:17,2/15/2018 15:51,88.6586,27.6163,2015,5,24,0.8660,-0.5000,True,Sikkim,True,administrative
Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058,9405,2016-04-19 00:00:00,,"Techahan Ward, Mon, Nagaland, India","(Landslide may have occurred within a week of April 19. )Altogether, 200 hailstorm affected families in Mon town of Nagaland have been given cash relief under the State Disaster Response Fund. Nagaland State Disaster Management Authority (NSDMA) and District Disaster Management Authority (DDMA) officials had undertaken a field assessment of the damages caused by heavy rainfall, hailstorm and windstorm in Mon district in April. Accordingly, relief was given to the families affected by landslide at Techahan Ward of Mon town.  Techahan Ward was affected by a massive landslide triggered by the incessant heavy rainfall that lashed the town for about six days in a row during the third week of April. About 70 houses were completely damaged and 130 houses severely affected displacing about 125 families.  One Government Primary School building located in the ward was also damaged by the landslide. Massive landslide had caused road blockage of Tobu-Mon BRO road.","Techahan Ward, Mon, Nagaland, India",1km,landslide,continuous_rain,medium,unknown,0,0,,,,glc,9405,India,IN,Nagaland,18742,Mon,3.71285,08-03-2016 20:40,11/20/2017 15:17,2/15/2018 15:51,95.0243,26.7223,2016,4,19,1.0000,0.0000,True,Nagaland,True,administrative
www.nagalandpost.com,http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDA0MzUxNQ%3D%3D-zy3k3F6024s%3D,5343,2013-08-17 23:00:00,,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,"Over 700 Imphal-bound freight trucks were Sunday stranded between Rengpan and Khambirong on the stretch of the Imphal-Jiribam section of NH-37 in Tamenglong district after the road was totally blocked by a landslide triggered by continuous heavy rainfall. An official report reaching here said that the landslide at various places between Rengpang and Khambirong of the highway was triggered by heavy rainfall last night blocking vehicular movement. Over 700 freight trucks including oil tankers and goods laden trucks heading Imphal from Jiribam with security escorts were reportedly stranded at various places beyond Rengpang on Jiribam side. The freight trucks include among other 250 trucks loaded with rice and other Food Corporation of India (FCI), 30 oil tanker and 10 trucks carrying life saving drugs. The landslide was triggered after around 150 trucks had crossed the area with security escort. Besides this, those vehicles which had already crossed the landslide area remained stranded be",The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,10km,landslide,continuous_rain,medium,unknown,,,,,,glc,5343,India,IN,Assam,12871,Lakhipur,43.11128,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.4341,24.7625,2013,8,17,-0.5000,-0.8660,True,Assam,True,administrative
First Post,http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html,6971,2015-06-09 00:00:00,,"Itanagar, Arunachal Pradesh",Two people died while two others were seriously injured when their dwelling was hit by a landslide on Tuesday,"Itanagar, Arunachal Pradesh",5km,landslide,continuous_rain,medium,above_road,2,2,,,,glc,6971,India,IN,Arunachal Pradesh,44971,Itānagar,1.30114,6/25/2015 20:30,11/20/2017 15:17,2/15/2018 15:51,93.816,27.0987,2015,6,9,0.5000,-0.8660,True,Arunachal Pradesh,True,administrative
en.apa,http://en.apa.az/news.php?id=119178,1611,2010-04-01 00:00:00,,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","The latest disaster has come from Assam where three children aged 7, 5 and 2 were crushed to death after the side of a mountain slid onto their house in Cachar, wiping it out. Their parents, Deepak and Supriti Roy, who survived the catastrophe were seriously injured.  A torrential downpour — some 26 inches on the rain gauge — over the past few days loosened the earth leading to the tragedy at the reserved forest village of Paglanala under Dholai block in the state’s Cachar district.  In the reckless destruction of mountains — be it in the name of “development” or the creation of more “living space” — there have been instances of entire convoys of passenger traffic being stranded in the mountains of the region because of landslides.  As per media report of 2nd April 2010 a landslide at the reserved forest village of Paglanala under Dholai block in the Cachar district, Assam has led to the death of three children and serious injury to two persons. The landslide was preceded by torrential","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",25km,landslide,downpour,medium,unknown,3,,,,,glc,1611,India,IN,Assam,39982,Hāflong,1.49521,09-12-2014 14:02,11/20/2017 15:17,2/15/2018 15:51,93.028,25.1553,2010,4,1,1.0000,0.0000,True,Assam,True,administrative
